initial,final,radii,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6
1,2,0.353553390593274,-0.3819144087,0.3569462187,-0.0897080727,0.1180855913,-0.1430537813,-0.0897080727
1,2,0.353553389836078,-0.381914412642886,0.366277611014149,-0.0831097811940817,0.118085586282722,-0.133722390053132,-0.0831097811896904
1,2,0.353553390098497,-0.381914418039008,0.375609001889011,-0.07651148965577,0.11808558265927,-0.124390997409828,-0.0765114896511748
1,2,0.35355338981418,-0.381914421590926,0.384940394521923,-0.0699131980787058,0.118085577305998,-0.11505960657861,-0.0699131980749911
1,2,0.353553390017808,-0.38191442695123,0.394271786199723,-0.0633149066261978,0.118085573860493,-0.105728214616216,-0.0633149066232446
1,2,0.353553390022761,-0.381914430394583,0.40360317794623,-0.0567166150776947,0.118085568796517,-0.0963968228585255,-0.0567166150751645
1,2,0.353553389520361,-0.381914434912406,0.412934570032515,-0.0501183235016894,0.118085563565225,-0.0870654314797719,-0.0501183234992085
1,2,0.353553390579591,-0.381914440410882,0.422265961286864,-0.0435200323035952,0.118085559606067,-0.0777340387348873,-0.0435200323008079
1,2,0.353553390101409,-0.381914444211873,0.431597352850557,-0.0369217402597053,0.118085554879072,-0.0684026469105806,-0.0369217412434358
1,2,0.348165308862082,-0.381914446855082,0.444548783391985,-0.0277636956853195,0.118085553144938,-0.0709344848196496,-0.0387120196327
1,2,0.341907474643977,-0.381914446827397,0.453889463497266,-0.0211588374245908,0.118085553162208,-0.0802565800586679,-0.0453037363784334
1,2,0.335921991559957,-0.38191444685445,0.463229860521321,-0.0145541793606345,0.118085553150105,-0.0895789589389074,-0.051895653707962
1,2,0.330223669520427,-0.38191444685307,0.472569992553332,-0.0079497086607799,0.118085553156663,-0.0989016033145415,-0.0584877587601921
1,2,0.324827621585424,-0.381914446844617,0.48190987731567,-0.00134541280402262,0.118085553164799,-0.108224495417118,-0.0650800389788426
1,2,0.319749151585216,-0.38191444681925,0.49124953225101,0.00525872055073572,0.118085553171628,-0.117547617757128,-0.0716724819956135
1,2,0.315003619850982,-0.38191444685999,-0.499411025377534,0.0118627035682806,0.11808555313746,-0.126870953036164,-0.0782650756084284
1,2,0.310606286963851,-0.381914446885815,-0.490071778589835,0.0184665482949364,0.118085553105581,-0.13619448423147,-0.0848578077499348
1,2,0.30657213655074,-0.381914446930382,-0.480732710515897,0.0250702666440849,0.118085553061236,-0.145518194437929,-0.0914506664801271
1,2,0.302915679284739,-0.38191444701185,-0.471393804433537,0.0316738704285626,0.118085552996332,-0.15484206690302,-0.0980436399574011
1,2,0.299650741796932,-0.381914446993412,-0.462055043818653,0.0382773714007466,0.118085552998582,-0.164166085062781,-0.104636716418319
1,2,0.296790245506334,-0.381914447087024,-0.452716412059786,0.0448807812036913,0.118085552920829,-0.173490232286033,-0.111229884183558
1,2,0.294345981915122,-0.38191444702284,-0.443377892859598,0.0514841114849801,0.11808555300033,-0.182814492240343,-0.117823131594602
1,2,0.292328392063868,-0.381914446804392,-0.43403946983369,0.058087373835162,0.118085553186583,-0.192138848507772,-0.124416447050176
1,2,0.290746358587506,-0.381914446996138,-0.424701126329795,0.0646905797688816,0.118085553011391,-0.201463284424476,-0.131009818995567
1,2,0.289607019521803,-0.381914446946411,-0.415362846268492,0.0712937409486337,0.118085553061065,-0.210787783875949,-0.137603235764223
1,2,0.288915612222678,-0.381914446816554,-0.406024613006904,0.0778968690716568,0.118085553183978,-0.220112330195154,-0.144196685639586
1,2,0.28867535523241,-0.381914446655942,-0.396686407202207,0.0844999777931606,0.11808555333663,-0.229436904011249,-0.150790154945206
1,2,0.288887374179298,-0.381914446509804,-0.387348202195551,0.0911030859442293,0.118085553482757,-0.23876147862671,-0.157383624821869
1,2,0.289550675543926,-0.381914446684377,-0.378009970776903,0.0977062126312633,0.118085553308638,-0.248086026793207,-0.163977076133001
1,2,0.290662169811248,-0.381914446814739,-0.36867169358369,0.10430937170562,0.118085553178476,-0.257410529116861,-0.17057049501037
1,2,0.292216742693367,-0.381914446918394,-0.359333354049019,0.110912574876309,0.118085553075453,-0.26673496900627,-0.177163869726357
1,2,0.294207370666972,-0.381914447002658,-0.349994935748999,0.117515833732176,0.118085552991984,-0.276059330013025,-0.183757188672593
1,2,0.296625274860577,-0.38191444707182,-0.340656422359853,0.124119159847669,0.118085552923656,-0.285383595784842,-0.190350440259218
1,2,0.299460105681809,-0.381914447128537,-0.331317797487984,0.130722564799797,0.118085552867472,-0.294707749903053,-0.196943612886671
1,2,0.302700149605564,-0.381914447175321,-0.321979044702696,0.137326060205093,0.118085552821297,-0.304031775907486,-0.203536694919454
1,2,0.306179692420816,-0.381914448597748,-0.31040693509243,0.145508777660314,0.118085551410633,-0.310374964450583,-0.208022006274946
1,2,0.306186210455212,-0.381914452774196,-0.30105959022852,0.15211835064314,0.118085547217426,-0.301059554021635,-0.201435014352968
1,2,0.306186217839049,-0.381914457276827,-0.291728181227633,0.158716656166554,0.118085542714792,-0.291728181194108,-0.194836734409957
1,2,0.306186217840192,-0.381914461884232,-0.282396788467051,0.165314946294481,0.118085538108512,-0.282396788441557,-0.188238444282365
1,2,0.306186217847893,-0.381914466506581,-0.273065396312984,0.171913237300538,0.118085533493408,-0.273065396312974,-0.181640153292736
1,3,0.353553390593274,-0.3819144087,0.3569462187,-0.0897080727,0.1180855913,-0.1430537813,-0.0897080727
1,3,0.350562717332194,-0.381914396934945,0.361466028754333,-0.0865120529642162,0.118085603062858,-0.147066296979175,-0.092545318354521
1,3,0.347619711256449,-0.381914396944,0.365739739814165,-0.0834900829388731,0.118085603056005,-0.151339980857046,-0.0955672692462804
1,3,0.344731057483518,-0.381914396949623,0.370013450623244,-0.0804681130618982,0.118085603050387,-0.155613664983402,-0.0985892202896161
